# timestamp_utc,2026-06-06T22:51:01Z
# op,oaep_dec
# rsa_bits,4096
# aes_msg_size,1024
# n_blocks,30
# block_size,1000
# total_ops,30000
# per_op_mean_ms,4.636444
# per_op_median_ms,4.590977
# per_op_stddev_ms,0.154961
# per_op_ci95_low_ms,4.580992
# per_op_ci95_high_ms,4.691896
sample_idx,per_op_ms
0,4.408154
1,4.488012
2,4.491788
3,4.494311
4,4.498284
5,4.500144
6,4.500238
7,4.501489
8,4.503100
9,4.507691
10,4.508381
11,4.518760
12,4.520051
13,4.522027
14,4.554838
15,4.590977
16,4.592192
17,4.643245
18,4.685764
19,4.739982
20,4.792707
21,4.798648
22,4.807493
23,4.821765
24,4.830935
25,4.834395
26,4.836147
27,4.849516
28,4.874531
29,4.877761
