# timestamp_utc,2026-06-06T22:46:55Z
# op,oaep_enc
# rsa_bits,4096
# aes_msg_size,1024
# n_blocks,30
# block_size,1000
# total_ops,30000
# per_op_mean_ms,0.042802
# per_op_median_ms,0.042759
# per_op_stddev_ms,0.000216
# per_op_ci95_low_ms,0.042724
# per_op_ci95_high_ms,0.042879
sample_idx,per_op_ms
0,0.042449
1,0.042508
2,0.042556
3,0.042576
4,0.042609
5,0.042637
6,0.042645
7,0.042656
8,0.042677
9,0.042707
10,0.042712
11,0.042717
12,0.042742
13,0.042749
14,0.042754
15,0.042759
16,0.042760
17,0.042804
18,0.042817
19,0.042833
20,0.042888
21,0.042894
22,0.042910
23,0.042962
24,0.042974
25,0.042978
26,0.042994
27,0.043081
28,0.043215
29,0.043484
