# timestamp_utc,2026-06-06T22:52:34Z
# op,aes_gcm_dec
# rsa_bits,3072
# aes_msg_size,1048576
# n_blocks,30
# block_size,1000
# total_ops,30000
# per_op_mean_ms,0.711808
# per_op_median_ms,0.688485
# per_op_stddev_ms,0.032293
# per_op_ci95_low_ms,0.700252
# per_op_ci95_high_ms,0.723364
sample_idx,per_op_ms
0,0.685033
1,0.686147
2,0.686250
3,0.686561
4,0.686995
5,0.687089
6,0.687135
7,0.687201
8,0.687308
9,0.687359
10,0.687463
11,0.687478
12,0.687949
13,0.688242
14,0.688467
15,0.688485
16,0.688570
17,0.688665
18,0.694837
19,0.748581
20,0.748895
21,0.749311
22,0.750275
23,0.752806
24,0.752915
25,0.753949
26,0.754134
27,0.754733
28,0.759985
29,0.761418
