# timestamp_utc,2026-06-06T22:51:27Z
# op,aes_gcm_dec
# rsa_bits,3072
# aes_msg_size,262144
# n_blocks,30
# block_size,1000
# total_ops,30000
# per_op_mean_ms,0.185138
# per_op_median_ms,0.185880
# per_op_stddev_ms,0.009240
# per_op_ci95_low_ms,0.181831
# per_op_ci95_high_ms,0.188444
sample_idx,per_op_ms
0,0.170046
1,0.170130
2,0.170608
3,0.171631
4,0.173051
5,0.184746
6,0.185086
7,0.185104
8,0.185283
9,0.185410
10,0.185443
11,0.185542
12,0.185794
13,0.185812
14,0.185851
15,0.185880
16,0.186007
17,0.186033
18,0.186041
19,0.186183
20,0.186198
21,0.186788
22,0.186958
23,0.187343
24,0.187505
25,0.187967
26,0.188543
27,0.188767
28,0.192115
29,0.222261
