# timestamp_utc,2026-06-06T22:51:05Z
# op,aes_gcm_enc
# rsa_bits,3072
# aes_msg_size,4096
# n_blocks,30
# block_size,1000
# total_ops,30000
# per_op_mean_ms,0.004848
# per_op_median_ms,0.004852
# per_op_stddev_ms,0.000122
# per_op_ci95_low_ms,0.004805
# per_op_ci95_high_ms,0.004892
sample_idx,per_op_ms
0,0.004546
1,0.004588
2,0.004708
3,0.004726
4,0.004737
5,0.004739
6,0.004767
7,0.004778
8,0.004781
9,0.004794
10,0.004807
11,0.004820
12,0.004821
13,0.004824
14,0.004843
15,0.004852
16,0.004867
17,0.004871
18,0.004895
19,0.004909
20,0.004930
21,0.004938
22,0.004948
23,0.004950
24,0.004967
25,0.004973
26,0.004982
27,0.004986
28,0.005045
29,0.005058
