# timestamp_utc,2026-06-06T22:59:34Z
# op,aes_gcm_enc
# rsa_bits,3072
# aes_msg_size,8388608
# n_blocks,30
# block_size,1000
# total_ops,30000
# per_op_mean_ms,13.982403
# per_op_median_ms,14.037381
# per_op_stddev_ms,0.390622
# per_op_ci95_low_ms,13.842621
# per_op_ci95_high_ms,14.122185
sample_idx,per_op_ms
0,12.961221
1,13.106223
2,13.426829
3,13.490912
4,13.558038
5,13.636347
6,13.649109
7,13.803640
8,13.842342
9,13.917925
10,13.983084
11,13.983419
12,14.016681
13,14.020695
14,14.028500
15,14.037381
16,14.094134
17,14.140519
18,14.158100
19,14.176897
20,14.191046
21,14.226795
22,14.258207
23,14.296763
24,14.304229
25,14.318036
26,14.321688
27,14.371658
28,14.480230
29,14.671447
