# timestamp_utc,2026-06-06T22:46:50Z
# op,keygen
# rsa_bits,4096
# aes_msg_size,1024
# n_blocks,30
# block_size,1000
# total_ops,30000
# per_op_mean_ms,334.827392
# per_op_median_ms,336.718824
# per_op_stddev_ms,7.316487
# per_op_ci95_low_ms,332.209220
# per_op_ci95_high_ms,337.445563
sample_idx,per_op_ms
0,320.451066
1,321.200533
2,323.159754
3,324.528349
4,326.432837
5,327.457163
6,330.785791
7,330.894924
8,331.076169
9,331.416288
10,331.507042
11,332.047244
12,332.379513
13,333.544236
14,336.209411
15,336.718824
16,336.956474
17,337.163340
18,337.320652
19,337.539785
20,339.134426
21,339.657113
22,340.010457
23,341.346129
24,342.623128
25,342.834100
26,343.230452
27,343.699775
28,344.465872
29,349.030902
