# timestamp_utc,2026-05-18T23:19:37Z
# op,oaep_dec
# rsa_bits,4096
# aes_msg_size,1024
# n_blocks,30
# block_size,1000
# total_ops,30000
# per_op_mean_ms,5.058569
# per_op_median_ms,5.075947
# per_op_stddev_ms,0.106559
# per_op_ci95_low_ms,5.020437
# per_op_ci95_high_ms,5.096700
sample_idx,per_op_ms
0,4.775659
1,4.877297
2,4.912469
3,4.922074
4,4.933391
5,4.948390
6,4.960474
7,5.009833
8,5.025900
9,5.026805
10,5.028182
11,5.038927
12,5.043451
13,5.043941
14,5.067135
15,5.075947
16,5.093944
17,5.107412
18,5.112420
19,5.122333
20,5.127818
21,5.136207
22,5.139618
23,5.146435
24,5.148641
25,5.148684
26,5.159163
27,5.162540
28,5.224892
29,5.237080
