# timestamp_utc,2026-05-18T23:15:04Z
# op,oaep_enc
# rsa_bits,3072
# aes_msg_size,1024
# n_blocks,30
# block_size,1000
# total_ops,30000
# per_op_mean_ms,0.033702
# per_op_median_ms,0.034266
# per_op_stddev_ms,0.001084
# per_op_ci95_low_ms,0.033314
# per_op_ci95_high_ms,0.034090
sample_idx,per_op_ms
0,0.030733
1,0.031780
2,0.032151
3,0.032171
4,0.032333
5,0.032462
6,0.032864
7,0.033118
8,0.033284
9,0.033300
10,0.033383
11,0.033607
12,0.033661
13,0.033827
14,0.034094
15,0.034266
16,0.034266
17,0.034316
18,0.034342
19,0.034386
20,0.034391
21,0.034435
22,0.034464
23,0.034633
24,0.034653
25,0.034656
26,0.034673
27,0.034861
28,0.034865
29,0.035091
