# timestamp_utc,2026-05-19T07:55:32Z
# op,aes_gcm_dec
# rsa_bits,3072
# aes_msg_size,1048576
# n_blocks,30
# block_size,1000
# total_ops,30000
# per_op_mean_ms,0.832237
# per_op_median_ms,0.829078
# per_op_stddev_ms,0.015780
# per_op_ci95_low_ms,0.826590
# per_op_ci95_high_ms,0.837883
sample_idx,per_op_ms
0,0.808160
1,0.814940
2,0.817254
3,0.817578
4,0.817964
5,0.819958
6,0.821337
7,0.821408
8,0.822166
9,0.823027
10,0.824073
11,0.824403
12,0.824639
13,0.826139
14,0.827330
15,0.829078
16,0.829472
17,0.829487
18,0.829678
19,0.829744
20,0.837527
21,0.840391
22,0.840639
23,0.843740
24,0.846052
25,0.849892
26,0.853754
27,0.854933
28,0.867178
29,0.875160
