# timestamp_utc,2026-05-19T07:55:01Z
# op,aes_gcm_dec
# rsa_bits,3072
# aes_msg_size,4096
# n_blocks,30
# block_size,1000
# total_ops,30000
# per_op_mean_ms,0.003696
# per_op_median_ms,0.003668
# per_op_stddev_ms,0.000309
# per_op_ci95_low_ms,0.003585
# per_op_ci95_high_ms,0.003806
sample_idx,per_op_ms
0,0.003242
1,0.003243
2,0.003375
3,0.003381
4,0.003419
5,0.003452
6,0.003486
7,0.003487
8,0.003511
9,0.003552
10,0.003563
11,0.003574
12,0.003580
13,0.003598
14,0.003607
15,0.003668
16,0.003680
17,0.003697
18,0.003698
19,0.003754
20,0.003758
21,0.003770
22,0.003806
23,0.003863
24,0.003961
25,0.003978
26,0.003984
27,0.004205
28,0.004424
29,0.004558
