# timestamp_utc,2026-05-18T23:20:28Z
# op,aes_gcm
# rsa_bits,3072
# aes_msg_size,1048576
# n_blocks,30
# block_size,1000
# total_ops,30000
# per_op_mean_ms,1.388791
# per_op_median_ms,1.408202
# per_op_stddev_ms,0.114371
# per_op_ci95_low_ms,1.347864
# per_op_ci95_high_ms,1.429718
sample_idx,per_op_ms
0,1.024627
1,1.129106
2,1.301450
3,1.316140
4,1.320926
5,1.321546
6,1.333024
7,1.359226
8,1.361651
9,1.364045
10,1.366857
11,1.369213
12,1.378507
13,1.393158
14,1.398753
15,1.408202
16,1.411370
17,1.415658
18,1.419642
19,1.422253
20,1.424391
21,1.425681
22,1.429685
23,1.431190
24,1.453013
25,1.453373
26,1.457601
27,1.535189
28,1.603617
29,1.634643
