# timestamp_utc,2026-05-18T23:19:45Z
# op,aes_gcm
# rsa_bits,3072
# aes_msg_size,262144
# n_blocks,30
# block_size,1000
# total_ops,30000
# per_op_mean_ms,0.117393
# per_op_median_ms,0.118233
# per_op_stddev_ms,0.007466
# per_op_ci95_low_ms,0.114722
# per_op_ci95_high_ms,0.120065
sample_idx,per_op_ms
0,0.104946
1,0.107214
2,0.107702
3,0.109104
4,0.110958
5,0.111213
6,0.111393
7,0.111912
8,0.112379
9,0.113237
10,0.113369
11,0.114962
12,0.115096
13,0.116628
14,0.117075
15,0.118233
16,0.118412
17,0.118973
18,0.119047
19,0.119177
20,0.119213
21,0.119294
22,0.119949
23,0.120811
24,0.121401
25,0.122508
26,0.126365
27,0.130234
28,0.134826
29,0.136165
