# timestamp_utc,2026-05-18T23:15:01Z
# op,keygen
# rsa_bits,4096
# aes_msg_size,1024
# n_blocks,30
# block_size,1000
# total_ops,30000
# per_op_mean_ms,365.228020
# per_op_median_ms,365.852782
# per_op_stddev_ms,10.272164
# per_op_ci95_low_ms,361.552173
# per_op_ci95_high_ms,368.903867
sample_idx,per_op_ms
0,331.132308
1,352.182632
2,354.232387
3,355.686673
4,356.162124
5,358.181993
6,359.454047
7,359.497726
8,359.661425
9,360.969452
10,362.793043
11,363.090605
12,364.287575
13,365.664144
14,365.833556
15,365.852782
16,365.955244
17,366.592670
18,366.684656
19,367.776934
20,368.281793
21,368.389402
22,373.777757
23,374.397212
24,375.485294
25,376.735199
26,377.023164
27,379.104758
28,379.748556
29,382.205490
