algo,N,block,msg_size,round,us_per_op
SHA3-512,30,1000,1048576,0,5277.97
SHA3-512,30,1000,1048576,1,5285.46
SHA3-512,30,1000,1048576,2,5448.94
SHA3-512,30,1000,1048576,3,5570.21
SHA3-512,30,1000,1048576,4,5589.57
SHA3-512,30,1000,1048576,5,5604.45
SHA3-512,30,1000,1048576,6,5605.69
SHA3-512,30,1000,1048576,7,5607.28
SHA3-512,30,1000,1048576,8,5618.36
SHA3-512,30,1000,1048576,9,5623.25
SHA3-512,30,1000,1048576,10,5625.86
SHA3-512,30,1000,1048576,11,5632.93
SHA3-512,30,1000,1048576,12,5636.69
SHA3-512,30,1000,1048576,13,5644.34
SHA3-512,30,1000,1048576,14,5654.96
SHA3-512,30,1000,1048576,15,5660.25
SHA3-512,30,1000,1048576,16,5706.24
SHA3-512,30,1000,1048576,17,5711.29
SHA3-512,30,1000,1048576,18,5746.18
SHA3-512,30,1000,1048576,19,5753.14
SHA3-512,30,1000,1048576,20,5783.05
SHA3-512,30,1000,1048576,21,5788.46
SHA3-512,30,1000,1048576,22,5801.67
SHA3-512,30,1000,1048576,23,5846.32
SHA3-512,30,1000,1048576,24,5869.1
SHA3-512,30,1000,1048576,25,5878.21
SHA3-512,30,1000,1048576,26,5892.31
SHA3-512,30,1000,1048576,27,5918.59
SHA3-512,30,1000,1048576,28,5929.51
SHA3-512,30,1000,1048576,29,6039.42
# summary,mean,5691.66,median,5660.25,sd,172.648,ci95_lo,5629.88,ci95_hi,5753.44,throughput_MiBps,175.696
