algo,N,block,msg_size,round,us_per_op
SHA-512,30,1000,1048576,0,1575.22
SHA-512,30,1000,1048576,1,1575.32
SHA-512,30,1000,1048576,2,1575.36
SHA-512,30,1000,1048576,3,1575.68
SHA-512,30,1000,1048576,4,1575.77
SHA-512,30,1000,1048576,5,1575.94
SHA-512,30,1000,1048576,6,1576.08
SHA-512,30,1000,1048576,7,1576.38
SHA-512,30,1000,1048576,8,1576.58
SHA-512,30,1000,1048576,9,1576.63
SHA-512,30,1000,1048576,10,1576.69
SHA-512,30,1000,1048576,11,1577.97
SHA-512,30,1000,1048576,12,1578.18
SHA-512,30,1000,1048576,13,1578.25
SHA-512,30,1000,1048576,14,1578.43
SHA-512,30,1000,1048576,15,1578.44
SHA-512,30,1000,1048576,16,1578.65
SHA-512,30,1000,1048576,17,1579.56
SHA-512,30,1000,1048576,18,1579.58
SHA-512,30,1000,1048576,19,1579.6
SHA-512,30,1000,1048576,20,1579.93
SHA-512,30,1000,1048576,21,1581.1
SHA-512,30,1000,1048576,22,1581.52
SHA-512,30,1000,1048576,23,1585.79
SHA-512,30,1000,1048576,24,1587.67
SHA-512,30,1000,1048576,25,1588.18
SHA-512,30,1000,1048576,26,1594.2
SHA-512,30,1000,1048576,27,1614.82
SHA-512,30,1000,1048576,28,1620.35
SHA-512,30,1000,1048576,29,1738.08
# summary,mean,1587.2,median,1578.44,sd,30.4217,ci95_lo,1576.31,ci95_hi,1598.09,throughput_MiBps,630.041
