algo,N,block,msg_size,round,us_per_op
SHA-256,30,1000,104857600,0,58535.8
SHA-256,30,1000,104857600,1,58657.8
SHA-256,30,1000,104857600,2,58681.3
SHA-256,30,1000,104857600,3,58691.8
SHA-256,30,1000,104857600,4,59034.5
SHA-256,30,1000,104857600,5,59056.9
SHA-256,30,1000,104857600,6,59082.8
SHA-256,30,1000,104857600,7,59133.3
SHA-256,30,1000,104857600,8,59136.8
SHA-256,30,1000,104857600,9,59152.7
SHA-256,30,1000,104857600,10,59190.7
SHA-256,30,1000,104857600,11,59308.7
SHA-256,30,1000,104857600,12,59370.3
SHA-256,30,1000,104857600,13,59438.5
SHA-256,30,1000,104857600,14,59461.9
SHA-256,30,1000,104857600,15,59497.3
SHA-256,30,1000,104857600,16,59508
SHA-256,30,1000,104857600,17,59525.1
SHA-256,30,1000,104857600,18,59541.3
SHA-256,30,1000,104857600,19,59589.9
SHA-256,30,1000,104857600,20,59660.7
SHA-256,30,1000,104857600,21,60039.1
SHA-256,30,1000,104857600,22,60843.9
SHA-256,30,1000,104857600,23,61363.7
SHA-256,30,1000,104857600,24,64697.3
SHA-256,30,1000,104857600,25,65744.3
SHA-256,30,1000,104857600,26,66783.2
SHA-256,30,1000,104857600,27,67583.4
SHA-256,30,1000,104857600,28,67736.8
SHA-256,30,1000,104857600,29,68739.4
# summary,mean,60892.9,median,59497.3,sd,3157.33,ci95_lo,59763.1,ci95_hi,62022.7,throughput_MiBps,1642.23
