algo,N,block,msg_size,round,us_per_op
SHA3-512,30,1000,104857600,0,449948
SHA3-512,30,1000,104857600,1,469675
SHA3-512,30,1000,104857600,2,470053
SHA3-512,30,1000,104857600,3,471339
SHA3-512,30,1000,104857600,4,472678
SHA3-512,30,1000,104857600,5,472764
SHA3-512,30,1000,104857600,6,472873
SHA3-512,30,1000,104857600,7,473375
SHA3-512,30,1000,104857600,8,473510
SHA3-512,30,1000,104857600,9,473597
SHA3-512,30,1000,104857600,10,473744
SHA3-512,30,1000,104857600,11,473979
SHA3-512,30,1000,104857600,12,474086
SHA3-512,30,1000,104857600,13,474367
SHA3-512,30,1000,104857600,14,474491
SHA3-512,30,1000,104857600,15,474608
SHA3-512,30,1000,104857600,16,474634
SHA3-512,30,1000,104857600,17,474802
SHA3-512,30,1000,104857600,18,474971
SHA3-512,30,1000,104857600,19,475047
SHA3-512,30,1000,104857600,20,475102
SHA3-512,30,1000,104857600,21,475444
SHA3-512,30,1000,104857600,22,475600
SHA3-512,30,1000,104857600,23,475966
SHA3-512,30,1000,104857600,24,476734
SHA3-512,30,1000,104857600,25,477566
SHA3-512,30,1000,104857600,26,480294
SHA3-512,30,1000,104857600,27,481291
SHA3-512,30,1000,104857600,28,483023
SHA3-512,30,1000,104857600,29,484688
# summary,mean,474342,median,474608,sd,5705.18,ci95_lo,472300,ci95_hi,476383,throughput_MiBps,210.819
