op,algo,N,block,msg_size,round,us_per_op
sign,ecdsa-p256,30,1000,1024,0,360.662
sign,ecdsa-p256,30,1000,1024,1,362.623
sign,ecdsa-p256,30,1000,1024,2,356.169
sign,ecdsa-p256,30,1000,1024,3,370.648
sign,ecdsa-p256,30,1000,1024,4,365.07
sign,ecdsa-p256,30,1000,1024,5,400.647
sign,ecdsa-p256,30,1000,1024,6,397.06
sign,ecdsa-p256,30,1000,1024,7,394.191
sign,ecdsa-p256,30,1000,1024,8,396.724
sign,ecdsa-p256,30,1000,1024,9,399.669
sign,ecdsa-p256,30,1000,1024,10,392.85
sign,ecdsa-p256,30,1000,1024,11,381.116
sign,ecdsa-p256,30,1000,1024,12,363.829
sign,ecdsa-p256,30,1000,1024,13,381.952
sign,ecdsa-p256,30,1000,1024,14,380.01
sign,ecdsa-p256,30,1000,1024,15,352.935
sign,ecdsa-p256,30,1000,1024,16,360.418
sign,ecdsa-p256,30,1000,1024,17,388.09
sign,ecdsa-p256,30,1000,1024,18,386.149
sign,ecdsa-p256,30,1000,1024,19,384.978
sign,ecdsa-p256,30,1000,1024,20,418.104
sign,ecdsa-p256,30,1000,1024,21,400.438
sign,ecdsa-p256,30,1000,1024,22,400.654
sign,ecdsa-p256,30,1000,1024,23,396.801
sign,ecdsa-p256,30,1000,1024,24,397.587
sign,ecdsa-p256,30,1000,1024,25,402.594
sign,ecdsa-p256,30,1000,1024,26,413.759
sign,ecdsa-p256,30,1000,1024,27,413.775
sign,ecdsa-p256,30,1000,1024,28,411.418
sign,ecdsa-p256,30,1000,1024,29,408.978
# summary,mean,387.997,median,393.521,sd,18.9394,ci95_lo,381.219,ci95_hi,394.774
