op,algo,N,block,msg_size,round,us_per_op
keygen,ecdsa-p384,30,1000,1024,0,788.294
keygen,ecdsa-p384,30,1000,1024,1,790.22
keygen,ecdsa-p384,30,1000,1024,2,787.782
keygen,ecdsa-p384,30,1000,1024,3,787.564
keygen,ecdsa-p384,30,1000,1024,4,792.482
keygen,ecdsa-p384,30,1000,1024,5,786.84
keygen,ecdsa-p384,30,1000,1024,6,789.539
keygen,ecdsa-p384,30,1000,1024,7,787.398
keygen,ecdsa-p384,30,1000,1024,8,786.145
keygen,ecdsa-p384,30,1000,1024,9,787.672
keygen,ecdsa-p384,30,1000,1024,10,786.205
keygen,ecdsa-p384,30,1000,1024,11,786.805
keygen,ecdsa-p384,30,1000,1024,12,789.13
keygen,ecdsa-p384,30,1000,1024,13,788.999
keygen,ecdsa-p384,30,1000,1024,14,796.403
keygen,ecdsa-p384,30,1000,1024,15,818.845
keygen,ecdsa-p384,30,1000,1024,16,793.715
keygen,ecdsa-p384,30,1000,1024,17,787.906
keygen,ecdsa-p384,30,1000,1024,18,785.488
keygen,ecdsa-p384,30,1000,1024,19,785.292
keygen,ecdsa-p384,30,1000,1024,20,784.344
keygen,ecdsa-p384,30,1000,1024,21,787.728
keygen,ecdsa-p384,30,1000,1024,22,785.287
keygen,ecdsa-p384,30,1000,1024,23,785.19
keygen,ecdsa-p384,30,1000,1024,24,786.809
keygen,ecdsa-p384,30,1000,1024,25,781.554
keygen,ecdsa-p384,30,1000,1024,26,785.003
keygen,ecdsa-p384,30,1000,1024,27,787.265
keygen,ecdsa-p384,30,1000,1024,28,786.893
keygen,ecdsa-p384,30,1000,1024,29,783.169
# summary,mean,788.532,median,787.331,sd,6.44738,ci95_lo,786.225,ci95_hi,790.839
