op,algo,N,block,msg_size,round,us_per_op
sign,ecdsa-p384,30,1000,1048576,0,2145.07
sign,ecdsa-p384,30,1000,1048576,1,2153.58
sign,ecdsa-p384,30,1000,1048576,2,2311.49
sign,ecdsa-p384,30,1000,1048576,3,2329.63
sign,ecdsa-p384,30,1000,1048576,4,2322.95
sign,ecdsa-p384,30,1000,1048576,5,2295.79
sign,ecdsa-p384,30,1000,1048576,6,2280.79
sign,ecdsa-p384,30,1000,1048576,7,2273.17
sign,ecdsa-p384,30,1000,1048576,8,2279.56
sign,ecdsa-p384,30,1000,1048576,9,2276.95
sign,ecdsa-p384,30,1000,1048576,10,2286.28
sign,ecdsa-p384,30,1000,1048576,11,2154.25
sign,ecdsa-p384,30,1000,1048576,12,2307.22
sign,ecdsa-p384,30,1000,1048576,13,2341.01
sign,ecdsa-p384,30,1000,1048576,14,2300.59
sign,ecdsa-p384,30,1000,1048576,15,2305.29
sign,ecdsa-p384,30,1000,1048576,16,2290.5
sign,ecdsa-p384,30,1000,1048576,17,2302.36
sign,ecdsa-p384,30,1000,1048576,18,2366.7
sign,ecdsa-p384,30,1000,1048576,19,2369.15
sign,ecdsa-p384,30,1000,1048576,20,2362.26
sign,ecdsa-p384,30,1000,1048576,21,2357.33
sign,ecdsa-p384,30,1000,1048576,22,2359.09
sign,ecdsa-p384,30,1000,1048576,23,2370.55
sign,ecdsa-p384,30,1000,1048576,24,2364.17
sign,ecdsa-p384,30,1000,1048576,25,2392.36
sign,ecdsa-p384,30,1000,1048576,26,2365.49
sign,ecdsa-p384,30,1000,1048576,27,2365.56
sign,ecdsa-p384,30,1000,1048576,28,2264.75
sign,ecdsa-p384,30,1000,1048576,29,2158.88
# summary,mean,2301.76,median,2306.25,sd,69.3531,ci95_lo,2276.94,ci95_hi,2326.58
