op,algo,N,block,msg_size,round,us_per_op
verify,ecdsa-p384,30,1000,1024,0,876.958
verify,ecdsa-p384,30,1000,1024,1,881.94
verify,ecdsa-p384,30,1000,1024,2,879.492
verify,ecdsa-p384,30,1000,1024,3,878.278
verify,ecdsa-p384,30,1000,1024,4,880.395
verify,ecdsa-p384,30,1000,1024,5,883.995
verify,ecdsa-p384,30,1000,1024,6,880.973
verify,ecdsa-p384,30,1000,1024,7,879.647
verify,ecdsa-p384,30,1000,1024,8,882.027
verify,ecdsa-p384,30,1000,1024,9,880.512
verify,ecdsa-p384,30,1000,1024,10,877.437
verify,ecdsa-p384,30,1000,1024,11,877.436
verify,ecdsa-p384,30,1000,1024,12,876.465
verify,ecdsa-p384,30,1000,1024,13,882.546
verify,ecdsa-p384,30,1000,1024,14,879.86
verify,ecdsa-p384,30,1000,1024,15,879.792
verify,ecdsa-p384,30,1000,1024,16,878.558
verify,ecdsa-p384,30,1000,1024,17,886.828
verify,ecdsa-p384,30,1000,1024,18,881.575
verify,ecdsa-p384,30,1000,1024,19,880.096
verify,ecdsa-p384,30,1000,1024,20,893.022
verify,ecdsa-p384,30,1000,1024,21,888.499
verify,ecdsa-p384,30,1000,1024,22,857.19
verify,ecdsa-p384,30,1000,1024,23,854.086
verify,ecdsa-p384,30,1000,1024,24,854.934
verify,ecdsa-p384,30,1000,1024,25,850.982
verify,ecdsa-p384,30,1000,1024,26,850.549
verify,ecdsa-p384,30,1000,1024,27,848.453
verify,ecdsa-p384,30,1000,1024,28,849.151
verify,ecdsa-p384,30,1000,1024,29,856.561
# summary,mean,873.608,median,879.569,sd,13.3429,ci95_lo,868.833,ci95_hi,878.383
