op,algo,N,block,msg_size,round,us_per_op
verify,ecdsa-p384,30,1000,8388608,0,12813.9
verify,ecdsa-p384,30,1000,8388608,1,12854.9
verify,ecdsa-p384,30,1000,8388608,2,13030.5
verify,ecdsa-p384,30,1000,8388608,3,12980.1
verify,ecdsa-p384,30,1000,8388608,4,13042.8
verify,ecdsa-p384,30,1000,8388608,5,12482.1
verify,ecdsa-p384,30,1000,8388608,6,11737
verify,ecdsa-p384,30,1000,8388608,7,11424
verify,ecdsa-p384,30,1000,8388608,8,11331.3
verify,ecdsa-p384,30,1000,8388608,9,11512.8
verify,ecdsa-p384,30,1000,8388608,10,11547.5
verify,ecdsa-p384,30,1000,8388608,11,11626.8
verify,ecdsa-p384,30,1000,8388608,12,11703.2
verify,ecdsa-p384,30,1000,8388608,13,11536.7
verify,ecdsa-p384,30,1000,8388608,14,10923
verify,ecdsa-p384,30,1000,8388608,15,11305.6
verify,ecdsa-p384,30,1000,8388608,16,11868.7
verify,ecdsa-p384,30,1000,8388608,17,11842.9
verify,ecdsa-p384,30,1000,8388608,18,11845
verify,ecdsa-p384,30,1000,8388608,19,11878.5
verify,ecdsa-p384,30,1000,8388608,20,11919.3
verify,ecdsa-p384,30,1000,8388608,21,11769.4
verify,ecdsa-p384,30,1000,8388608,22,11095
verify,ecdsa-p384,30,1000,8388608,23,10916.9
verify,ecdsa-p384,30,1000,8388608,24,11387.4
verify,ecdsa-p384,30,1000,8388608,25,11378.9
verify,ecdsa-p384,30,1000,8388608,26,11254.3
verify,ecdsa-p384,30,1000,8388608,27,11078.5
verify,ecdsa-p384,30,1000,8388608,28,11138.4
verify,ecdsa-p384,30,1000,8388608,29,11660.1
# summary,mean,11762.8,median,11643.5,sd,631.901,ci95_lo,11536.7,ci95_hi,11989
