op,bits,N,block,msg_size,hash,round,us_per_op
keygen,3072,30,1000,1024,sha256,0,518218
keygen,3072,30,1000,1024,sha256,1,509917
keygen,3072,30,1000,1024,sha256,2,501710
keygen,3072,30,1000,1024,sha256,3,472086
keygen,3072,30,1000,1024,sha256,4,490959
keygen,3072,30,1000,1024,sha256,5,489071
keygen,3072,30,1000,1024,sha256,6,470224
keygen,3072,30,1000,1024,sha256,7,473740
keygen,3072,30,1000,1024,sha256,8,463633
keygen,3072,30,1000,1024,sha256,9,463482
keygen,3072,30,1000,1024,sha256,10,476180
keygen,3072,30,1000,1024,sha256,11,477913
keygen,3072,30,1000,1024,sha256,12,480099
keygen,3072,30,1000,1024,sha256,13,482444
keygen,3072,30,1000,1024,sha256,14,475207
keygen,3072,30,1000,1024,sha256,15,494145
keygen,3072,30,1000,1024,sha256,16,485405
keygen,3072,30,1000,1024,sha256,17,482559
keygen,3072,30,1000,1024,sha256,18,480002
keygen,3072,30,1000,1024,sha256,19,465098
keygen,3072,30,1000,1024,sha256,20,489861
keygen,3072,30,1000,1024,sha256,21,478644
keygen,3072,30,1000,1024,sha256,22,490454
keygen,3072,30,1000,1024,sha256,23,491514
keygen,3072,30,1000,1024,sha256,24,471952
keygen,3072,30,1000,1024,sha256,25,469693
keygen,3072,30,1000,1024,sha256,26,488481
keygen,3072,30,1000,1024,sha256,27,470577
keygen,3072,30,1000,1024,sha256,28,462427
keygen,3072,30,1000,1024,sha256,29,496290
# summary,mean,482066,median,480050,sd,13635.7,ci95_lo,477187,ci95_hi,486946
