op,bits,N,block,msg_size,hash,round,us_per_op
sign,4096,30,1000,1024,sha256,0,3787.95
sign,4096,30,1000,1024,sha256,1,3779.65
sign,4096,30,1000,1024,sha256,2,3786.39
sign,4096,30,1000,1024,sha256,3,3924.81
sign,4096,30,1000,1024,sha256,4,3790.16
sign,4096,30,1000,1024,sha256,5,3789.74
sign,4096,30,1000,1024,sha256,6,3773
sign,4096,30,1000,1024,sha256,7,3783.55
sign,4096,30,1000,1024,sha256,8,3808.63
sign,4096,30,1000,1024,sha256,9,3781.54
sign,4096,30,1000,1024,sha256,10,3779.56
sign,4096,30,1000,1024,sha256,11,3944.58
sign,4096,30,1000,1024,sha256,12,3845.76
sign,4096,30,1000,1024,sha256,13,3796.16
sign,4096,30,1000,1024,sha256,14,3797.99
sign,4096,30,1000,1024,sha256,15,3786.44
sign,4096,30,1000,1024,sha256,16,3783.93
sign,4096,30,1000,1024,sha256,17,3780.4
sign,4096,30,1000,1024,sha256,18,3781.79
sign,4096,30,1000,1024,sha256,19,3813.58
sign,4096,30,1000,1024,sha256,20,3870.91
sign,4096,30,1000,1024,sha256,21,3799.78
sign,4096,30,1000,1024,sha256,22,3788.08
sign,4096,30,1000,1024,sha256,23,3797.81
sign,4096,30,1000,1024,sha256,24,3807.26
sign,4096,30,1000,1024,sha256,25,3780.77
sign,4096,30,1000,1024,sha256,26,3785.14
sign,4096,30,1000,1024,sha256,27,3787.48
sign,4096,30,1000,1024,sha256,28,3875.21
sign,4096,30,1000,1024,sha256,29,3802.04
# summary,mean,3807,median,3788.91,sd,42.7027,ci95_lo,3791.72,ci95_hi,3822.28
