op,bits,N,block,msg_size,hash,round,us_per_op
sign,4096,30,1000,1048576,sha256,0,4258.31
sign,4096,30,1000,1048576,sha256,1,4352.75
sign,4096,30,1000,1048576,sha256,2,4270.03
sign,4096,30,1000,1048576,sha256,3,4264.48
sign,4096,30,1000,1048576,sha256,4,4253.73
sign,4096,30,1000,1048576,sha256,5,4271.44
sign,4096,30,1000,1048576,sha256,6,4252.48
sign,4096,30,1000,1048576,sha256,7,4244.5
sign,4096,30,1000,1048576,sha256,8,4264.69
sign,4096,30,1000,1048576,sha256,9,4385.99
sign,4096,30,1000,1048576,sha256,10,4261.14
sign,4096,30,1000,1048576,sha256,11,4243.21
sign,4096,30,1000,1048576,sha256,12,4254.12
sign,4096,30,1000,1048576,sha256,13,4247.64
sign,4096,30,1000,1048576,sha256,14,4265.02
sign,4096,30,1000,1048576,sha256,15,4260.25
sign,4096,30,1000,1048576,sha256,16,4344.34
sign,4096,30,1000,1048576,sha256,17,4263.89
sign,4096,30,1000,1048576,sha256,18,4262.07
sign,4096,30,1000,1048576,sha256,19,4260.2
sign,4096,30,1000,1048576,sha256,20,4250.63
sign,4096,30,1000,1048576,sha256,21,4260.2
sign,4096,30,1000,1048576,sha256,22,4274.82
sign,4096,30,1000,1048576,sha256,23,4364.17
sign,4096,30,1000,1048576,sha256,24,4267.46
sign,4096,30,1000,1048576,sha256,25,4249.8
sign,4096,30,1000,1048576,sha256,26,4253.91
sign,4096,30,1000,1048576,sha256,27,4255.67
sign,4096,30,1000,1048576,sha256,28,4257.35
sign,4096,30,1000,1048576,sha256,29,4502.88
# summary,mean,4280.57,median,4260.7,sd,55.8301,ci95_lo,4260.59,ci95_hi,4300.55
