op,bits,N,block,msg_size,hash,round,us_per_op
verify,4096,30,1000,16384,sha256,0,281.41
verify,4096,30,1000,16384,sha256,1,280.716
verify,4096,30,1000,16384,sha256,2,280.824
verify,4096,30,1000,16384,sha256,3,281.956
verify,4096,30,1000,16384,sha256,4,279.776
verify,4096,30,1000,16384,sha256,5,279.394
verify,4096,30,1000,16384,sha256,6,279.387
verify,4096,30,1000,16384,sha256,7,279.936
verify,4096,30,1000,16384,sha256,8,279.395
verify,4096,30,1000,16384,sha256,9,279.118
verify,4096,30,1000,16384,sha256,10,279.718
verify,4096,30,1000,16384,sha256,11,281.232
verify,4096,30,1000,16384,sha256,12,280.506
verify,4096,30,1000,16384,sha256,13,279.525
verify,4096,30,1000,16384,sha256,14,290.731
verify,4096,30,1000,16384,sha256,15,324.152
verify,4096,30,1000,16384,sha256,16,322.888
verify,4096,30,1000,16384,sha256,17,321.06
verify,4096,30,1000,16384,sha256,18,321.362
verify,4096,30,1000,16384,sha256,19,322.003
verify,4096,30,1000,16384,sha256,20,322.504
verify,4096,30,1000,16384,sha256,21,320.263
verify,4096,30,1000,16384,sha256,22,319.236
verify,4096,30,1000,16384,sha256,23,319.99
verify,4096,30,1000,16384,sha256,24,322.646
verify,4096,30,1000,16384,sha256,25,321.375
verify,4096,30,1000,16384,sha256,26,322.376
verify,4096,30,1000,16384,sha256,27,321.798
verify,4096,30,1000,16384,sha256,28,321.715
verify,4096,30,1000,16384,sha256,29,320.302
# summary,mean,301.243,median,304.983,sd,20.7961,ci95_lo,293.801,ci95_hi,308.685
