op,bits,N,block,msg_size,hash,round,us_per_op
verify,4096,30,1000,8388608,sha256,0,4021.73
verify,4096,30,1000,8388608,sha256,1,4066.54
verify,4096,30,1000,8388608,sha256,2,4333.41
verify,4096,30,1000,8388608,sha256,3,4299.19
verify,4096,30,1000,8388608,sha256,4,4341.58
verify,4096,30,1000,8388608,sha256,5,4292.08
verify,4096,30,1000,8388608,sha256,6,4265.03
verify,4096,30,1000,8388608,sha256,7,4274.33
verify,4096,30,1000,8388608,sha256,8,4285.2
verify,4096,30,1000,8388608,sha256,9,4272.51
verify,4096,30,1000,8388608,sha256,10,4229
verify,4096,30,1000,8388608,sha256,11,4241.88
verify,4096,30,1000,8388608,sha256,12,4268.65
verify,4096,30,1000,8388608,sha256,13,4227.7
verify,4096,30,1000,8388608,sha256,14,4213.27
verify,4096,30,1000,8388608,sha256,15,4258.91
verify,4096,30,1000,8388608,sha256,16,4282.33
verify,4096,30,1000,8388608,sha256,17,4272.58
verify,4096,30,1000,8388608,sha256,18,4271.56
verify,4096,30,1000,8388608,sha256,19,4267.97
verify,4096,30,1000,8388608,sha256,20,4242.25
verify,4096,30,1000,8388608,sha256,21,4295.83
verify,4096,30,1000,8388608,sha256,22,4263.78
verify,4096,30,1000,8388608,sha256,23,4331.71
verify,4096,30,1000,8388608,sha256,24,4372.22
verify,4096,30,1000,8388608,sha256,25,4303.01
verify,4096,30,1000,8388608,sha256,26,4390.41
verify,4096,30,1000,8388608,sha256,27,4362.95
verify,4096,30,1000,8388608,sha256,28,4267.65
verify,4096,30,1000,8388608,sha256,29,4087.76
# summary,mean,4263.43,median,4272.04,sd,81.6746,ci95_lo,4234.21,ci95_hi,4292.66
