op,algo,N,block,msg_size,round,us_per_op
keygen,ecdsa-p256,30,1000,1024,0,9559.93
keygen,ecdsa-p256,30,1000,1024,1,9970.9
keygen,ecdsa-p256,30,1000,1024,2,9866.5
keygen,ecdsa-p256,30,1000,1024,3,10065.3
keygen,ecdsa-p256,30,1000,1024,4,9415.76
keygen,ecdsa-p256,30,1000,1024,5,9045.81
keygen,ecdsa-p256,30,1000,1024,6,10204.4
keygen,ecdsa-p256,30,1000,1024,7,10125.4
keygen,ecdsa-p256,30,1000,1024,8,10169.8
keygen,ecdsa-p256,30,1000,1024,9,9995.24
keygen,ecdsa-p256,30,1000,1024,10,10319.4
keygen,ecdsa-p256,30,1000,1024,11,9780.36
keygen,ecdsa-p256,30,1000,1024,12,10118
keygen,ecdsa-p256,30,1000,1024,13,10248.2
keygen,ecdsa-p256,30,1000,1024,14,9956.57
keygen,ecdsa-p256,30,1000,1024,15,9955.6
keygen,ecdsa-p256,30,1000,1024,16,10434.7
keygen,ecdsa-p256,30,1000,1024,17,10242.1
keygen,ecdsa-p256,30,1000,1024,18,9687.89
keygen,ecdsa-p256,30,1000,1024,19,10304.5
keygen,ecdsa-p256,30,1000,1024,20,10353.6
keygen,ecdsa-p256,30,1000,1024,21,10606.1
keygen,ecdsa-p256,30,1000,1024,22,10490.7
keygen,ecdsa-p256,30,1000,1024,23,10334.4
keygen,ecdsa-p256,30,1000,1024,24,9283.41
keygen,ecdsa-p256,30,1000,1024,25,10217.6
keygen,ecdsa-p256,30,1000,1024,26,10392.6
keygen,ecdsa-p256,30,1000,1024,27,10139.2
keygen,ecdsa-p256,30,1000,1024,28,9599.09
keygen,ecdsa-p256,30,1000,1024,29,9412.92
# summary,mean,10009.9,median,10121.7,sd,385.237,ci95_lo,9872.01,ci95_hi,10147.7
