op,algo,N,block,msg_size,round,us_per_op
sign,ecdsa-p256,30,1000,16384,0,142.68
sign,ecdsa-p256,30,1000,16384,1,138.239
sign,ecdsa-p256,30,1000,16384,2,132.738
sign,ecdsa-p256,30,1000,16384,3,133.126
sign,ecdsa-p256,30,1000,16384,4,132.345
sign,ecdsa-p256,30,1000,16384,5,137.14
sign,ecdsa-p256,30,1000,16384,6,129.377
sign,ecdsa-p256,30,1000,16384,7,132.732
sign,ecdsa-p256,30,1000,16384,8,132.16
sign,ecdsa-p256,30,1000,16384,9,126.11
sign,ecdsa-p256,30,1000,16384,10,132.911
sign,ecdsa-p256,30,1000,16384,11,131.768
sign,ecdsa-p256,30,1000,16384,12,134.083
sign,ecdsa-p256,30,1000,16384,13,139.349
sign,ecdsa-p256,30,1000,16384,14,132.032
sign,ecdsa-p256,30,1000,16384,15,134.729
sign,ecdsa-p256,30,1000,16384,16,133.178
sign,ecdsa-p256,30,1000,16384,17,139.965
sign,ecdsa-p256,30,1000,16384,18,134.631
sign,ecdsa-p256,30,1000,16384,19,131.686
sign,ecdsa-p256,30,1000,16384,20,135.856
sign,ecdsa-p256,30,1000,16384,21,138.085
sign,ecdsa-p256,30,1000,16384,22,132.512
sign,ecdsa-p256,30,1000,16384,23,136.18
sign,ecdsa-p256,30,1000,16384,24,133.5
sign,ecdsa-p256,30,1000,16384,25,139.888
sign,ecdsa-p256,30,1000,16384,26,140.339
sign,ecdsa-p256,30,1000,16384,27,133.942
sign,ecdsa-p256,30,1000,16384,28,135.296
sign,ecdsa-p256,30,1000,16384,29,135.16
# summary,mean,134.725,median,134.012,sd,3.56012,ci95_lo,133.451,ci95_hi,135.999
