op,algo,N,block,msg_size,round,us_per_op
verify,ecdsa-p256,30,1000,16384,0,164.63
verify,ecdsa-p256,30,1000,16384,1,175.411
verify,ecdsa-p256,30,1000,16384,2,156.234
verify,ecdsa-p256,30,1000,16384,3,157.568
verify,ecdsa-p256,30,1000,16384,4,149.981
verify,ecdsa-p256,30,1000,16384,5,156.31
verify,ecdsa-p256,30,1000,16384,6,160.06
verify,ecdsa-p256,30,1000,16384,7,157.764
verify,ecdsa-p256,30,1000,16384,8,155.352
verify,ecdsa-p256,30,1000,16384,9,159.378
verify,ecdsa-p256,30,1000,16384,10,160.662
verify,ecdsa-p256,30,1000,16384,11,157.892
verify,ecdsa-p256,30,1000,16384,12,159.732
verify,ecdsa-p256,30,1000,16384,13,157.504
verify,ecdsa-p256,30,1000,16384,14,163.459
verify,ecdsa-p256,30,1000,16384,15,160.478
verify,ecdsa-p256,30,1000,16384,16,159.565
verify,ecdsa-p256,30,1000,16384,17,158.072
verify,ecdsa-p256,30,1000,16384,18,162.783
verify,ecdsa-p256,30,1000,16384,19,157.161
verify,ecdsa-p256,30,1000,16384,20,162.205
verify,ecdsa-p256,30,1000,16384,21,160.611
verify,ecdsa-p256,30,1000,16384,22,160.298
verify,ecdsa-p256,30,1000,16384,23,165.155
verify,ecdsa-p256,30,1000,16384,24,163.249
verify,ecdsa-p256,30,1000,16384,25,165.286
verify,ecdsa-p256,30,1000,16384,26,158.903
verify,ecdsa-p256,30,1000,16384,27,165.508
verify,ecdsa-p256,30,1000,16384,28,162.789
verify,ecdsa-p256,30,1000,16384,29,160.621
# summary,mean,160.487,median,160.179,sd,4.41815,ci95_lo,158.906,ci95_hi,162.068
