op,algo,N,block,msg_size,round,us_per_op
verify,ecdsa-p256,30,1000,1048576,0,814.516
verify,ecdsa-p256,30,1000,1048576,1,840.905
verify,ecdsa-p256,30,1000,1048576,2,822.259
verify,ecdsa-p256,30,1000,1048576,3,795.271
verify,ecdsa-p256,30,1000,1048576,4,773.913
verify,ecdsa-p256,30,1000,1048576,5,780.848
verify,ecdsa-p256,30,1000,1048576,6,788.336
verify,ecdsa-p256,30,1000,1048576,7,797.327
verify,ecdsa-p256,30,1000,1048576,8,802.017
verify,ecdsa-p256,30,1000,1048576,9,841.833
verify,ecdsa-p256,30,1000,1048576,10,816.414
verify,ecdsa-p256,30,1000,1048576,11,781.576
verify,ecdsa-p256,30,1000,1048576,12,793.587
verify,ecdsa-p256,30,1000,1048576,13,844.629
verify,ecdsa-p256,30,1000,1048576,14,797.819
verify,ecdsa-p256,30,1000,1048576,15,788.109
verify,ecdsa-p256,30,1000,1048576,16,831.209
verify,ecdsa-p256,30,1000,1048576,17,831.685
verify,ecdsa-p256,30,1000,1048576,18,795.526
verify,ecdsa-p256,30,1000,1048576,19,776.6
verify,ecdsa-p256,30,1000,1048576,20,750.598
verify,ecdsa-p256,30,1000,1048576,21,784.209
verify,ecdsa-p256,30,1000,1048576,22,761.712
verify,ecdsa-p256,30,1000,1048576,23,829.089
verify,ecdsa-p256,30,1000,1048576,24,835.028
verify,ecdsa-p256,30,1000,1048576,25,790.263
verify,ecdsa-p256,30,1000,1048576,26,757.781
verify,ecdsa-p256,30,1000,1048576,27,729.537
verify,ecdsa-p256,30,1000,1048576,28,808.618
verify,ecdsa-p256,30,1000,1048576,29,878.82
# summary,mean,801.334,median,796.426,sd,32.155,ci95_lo,789.828,ci95_hi,812.841
