op,algo,N,block,msg_size,round,us_per_op
sign,ecdsa-p384,30,1000,1048576,0,1908.26
sign,ecdsa-p384,30,1000,1048576,1,2630.95
sign,ecdsa-p384,30,1000,1048576,2,2933.66
sign,ecdsa-p384,30,1000,1048576,3,2381.85
sign,ecdsa-p384,30,1000,1048576,4,2305.03
sign,ecdsa-p384,30,1000,1048576,5,2371.65
sign,ecdsa-p384,30,1000,1048576,6,2318.2
sign,ecdsa-p384,30,1000,1048576,7,2433.7
sign,ecdsa-p384,30,1000,1048576,8,2258.49
sign,ecdsa-p384,30,1000,1048576,9,2478.91
sign,ecdsa-p384,30,1000,1048576,10,2336.33
sign,ecdsa-p384,30,1000,1048576,11,2581.45
sign,ecdsa-p384,30,1000,1048576,12,2437.96
sign,ecdsa-p384,30,1000,1048576,13,2402.22
sign,ecdsa-p384,30,1000,1048576,14,2469.39
sign,ecdsa-p384,30,1000,1048576,15,2393.44
sign,ecdsa-p384,30,1000,1048576,16,2430.76
sign,ecdsa-p384,30,1000,1048576,17,2437.07
sign,ecdsa-p384,30,1000,1048576,18,2475.33
sign,ecdsa-p384,30,1000,1048576,19,2517.76
sign,ecdsa-p384,30,1000,1048576,20,2575.96
sign,ecdsa-p384,30,1000,1048576,21,2470.29
sign,ecdsa-p384,30,1000,1048576,22,2358.04
sign,ecdsa-p384,30,1000,1048576,23,2349.4
sign,ecdsa-p384,30,1000,1048576,24,2228.93
sign,ecdsa-p384,30,1000,1048576,25,2433.67
sign,ecdsa-p384,30,1000,1048576,26,2526.93
sign,ecdsa-p384,30,1000,1048576,27,2632.89
sign,ecdsa-p384,30,1000,1048576,28,2677.66
sign,ecdsa-p384,30,1000,1048576,29,2627.11
# summary,mean,2446.11,median,2435.38,sd,175.694,ci95_lo,2383.24,ci95_hi,2508.98
