op,bits,N,block,msg_size,hash,round,us_per_op
keygen,3072,30,1000,1024,sha256,0,179324
keygen,3072,30,1000,1024,sha256,1,179586
keygen,3072,30,1000,1024,sha256,2,194917
keygen,3072,30,1000,1024,sha256,3,191569
keygen,3072,30,1000,1024,sha256,4,186281
keygen,3072,30,1000,1024,sha256,5,188087
keygen,3072,30,1000,1024,sha256,6,178875
keygen,3072,30,1000,1024,sha256,7,180074
keygen,3072,30,1000,1024,sha256,8,178576
keygen,3072,30,1000,1024,sha256,9,193847
keygen,3072,30,1000,1024,sha256,10,187641
keygen,3072,30,1000,1024,sha256,11,190022
keygen,3072,30,1000,1024,sha256,12,179368
keygen,3072,30,1000,1024,sha256,13,185277
keygen,3072,30,1000,1024,sha256,14,179317
keygen,3072,30,1000,1024,sha256,15,181664
keygen,3072,30,1000,1024,sha256,16,185942
keygen,3072,30,1000,1024,sha256,17,178756
keygen,3072,30,1000,1024,sha256,18,190528
keygen,3072,30,1000,1024,sha256,19,194001
keygen,3072,30,1000,1024,sha256,20,202142
keygen,3072,30,1000,1024,sha256,21,207934
keygen,3072,30,1000,1024,sha256,22,209616
keygen,3072,30,1000,1024,sha256,23,199643
keygen,3072,30,1000,1024,sha256,24,198274
keygen,3072,30,1000,1024,sha256,25,205917
keygen,3072,30,1000,1024,sha256,26,193996
keygen,3072,30,1000,1024,sha256,27,202217
keygen,3072,30,1000,1024,sha256,28,203814
keygen,3072,30,1000,1024,sha256,29,199557
# summary,mean,190892,median,190275,sd,9843.62,ci95_lo,187370,ci95_hi,194415
