op,bits,N,block,msg_size,hash,round,us_per_op
sign,3072,30,1000,1024,sha256,0,1951.4
sign,3072,30,1000,1024,sha256,1,1933.17
sign,3072,30,1000,1024,sha256,2,1945.71
sign,3072,30,1000,1024,sha256,3,1896.76
sign,3072,30,1000,1024,sha256,4,1927.05
sign,3072,30,1000,1024,sha256,5,1939.73
sign,3072,30,1000,1024,sha256,6,1921.3
sign,3072,30,1000,1024,sha256,7,1910.68
sign,3072,30,1000,1024,sha256,8,1915.16
sign,3072,30,1000,1024,sha256,9,1912.12
sign,3072,30,1000,1024,sha256,10,1928.65
sign,3072,30,1000,1024,sha256,11,1930.57
sign,3072,30,1000,1024,sha256,12,1945.36
sign,3072,30,1000,1024,sha256,13,1912.21
sign,3072,30,1000,1024,sha256,14,1908.39
sign,3072,30,1000,1024,sha256,15,1930.99
sign,3072,30,1000,1024,sha256,16,1903.71
sign,3072,30,1000,1024,sha256,17,1908.71
sign,3072,30,1000,1024,sha256,18,1930.42
sign,3072,30,1000,1024,sha256,19,1932.92
sign,3072,30,1000,1024,sha256,20,1917.86
sign,3072,30,1000,1024,sha256,21,1924.42
sign,3072,30,1000,1024,sha256,22,1935.46
sign,3072,30,1000,1024,sha256,23,1912.44
sign,3072,30,1000,1024,sha256,24,1901.73
sign,3072,30,1000,1024,sha256,25,1933.35
sign,3072,30,1000,1024,sha256,26,1902.43
sign,3072,30,1000,1024,sha256,27,1901.01
sign,3072,30,1000,1024,sha256,28,1915.57
sign,3072,30,1000,1024,sha256,29,1926.04
# summary,mean,1921.84,median,1922.86,sd,14.6731,ci95_lo,1916.59,ci95_hi,1927.1
