op,bits,N,block,msg_size,hash,round,us_per_op
sign,3072,30,1000,1048576,sha256,0,2426.83
sign,3072,30,1000,1048576,sha256,1,2423.66
sign,3072,30,1000,1048576,sha256,2,2424.87
sign,3072,30,1000,1048576,sha256,3,2419.17
sign,3072,30,1000,1048576,sha256,4,2420.27
sign,3072,30,1000,1048576,sha256,5,2407.71
sign,3072,30,1000,1048576,sha256,6,2422.36
sign,3072,30,1000,1048576,sha256,7,2404.36
sign,3072,30,1000,1048576,sha256,8,2393.01
sign,3072,30,1000,1048576,sha256,9,2420.13
sign,3072,30,1000,1048576,sha256,10,2444.6
sign,3072,30,1000,1048576,sha256,11,2487.72
sign,3072,30,1000,1048576,sha256,12,2435.21
sign,3072,30,1000,1048576,sha256,13,2414.97
sign,3072,30,1000,1048576,sha256,14,2418.52
sign,3072,30,1000,1048576,sha256,15,2420.86
sign,3072,30,1000,1048576,sha256,16,2379.39
sign,3072,30,1000,1048576,sha256,17,2412.8
sign,3072,30,1000,1048576,sha256,18,2441.6
sign,3072,30,1000,1048576,sha256,19,2438.35
sign,3072,30,1000,1048576,sha256,20,2605.86
sign,3072,30,1000,1048576,sha256,21,2643.94
sign,3072,30,1000,1048576,sha256,22,2627.52
sign,3072,30,1000,1048576,sha256,23,2654.67
sign,3072,30,1000,1048576,sha256,24,2443.68
sign,3072,30,1000,1048576,sha256,25,2455.75
sign,3072,30,1000,1048576,sha256,26,2447.15
sign,3072,30,1000,1048576,sha256,27,2445.9
sign,3072,30,1000,1048576,sha256,28,2431.48
sign,3072,30,1000,1048576,sha256,29,2426.36
# summary,mean,2454.62,median,2426.59,sd,74.1516,ci95_lo,2428.09,ci95_hi,2481.16
