op,bits,N,block,msg_size,hash,round,us_per_op
verify,4096,30,1000,16384,sha256,0,139.615
verify,4096,30,1000,16384,sha256,1,136.037
verify,4096,30,1000,16384,sha256,2,129.186
verify,4096,30,1000,16384,sha256,3,128.691
verify,4096,30,1000,16384,sha256,4,131.229
verify,4096,30,1000,16384,sha256,5,135.276
verify,4096,30,1000,16384,sha256,6,128.525
verify,4096,30,1000,16384,sha256,7,130.21
verify,4096,30,1000,16384,sha256,8,130.445
verify,4096,30,1000,16384,sha256,9,141.612
verify,4096,30,1000,16384,sha256,10,136.326
verify,4096,30,1000,16384,sha256,11,140.566
verify,4096,30,1000,16384,sha256,12,142.521
verify,4096,30,1000,16384,sha256,13,146.787
verify,4096,30,1000,16384,sha256,14,148.534
verify,4096,30,1000,16384,sha256,15,146.897
verify,4096,30,1000,16384,sha256,16,141.429
verify,4096,30,1000,16384,sha256,17,143.495
verify,4096,30,1000,16384,sha256,18,140.082
verify,4096,30,1000,16384,sha256,19,138.188
verify,4096,30,1000,16384,sha256,20,136.704
verify,4096,30,1000,16384,sha256,21,153.357
verify,4096,30,1000,16384,sha256,22,198.417
verify,4096,30,1000,16384,sha256,23,161.853
verify,4096,30,1000,16384,sha256,24,141.79
verify,4096,30,1000,16384,sha256,25,165.855
verify,4096,30,1000,16384,sha256,26,155.074
verify,4096,30,1000,16384,sha256,27,196.34
verify,4096,30,1000,16384,sha256,28,144.948
verify,4096,30,1000,16384,sha256,29,130.507
# summary,mean,144.683,median,140.997,sd,17.1149,ci95_lo,138.559,ci95_hi,150.808
