op,bits,N,block,msg_size,hash,round,us_per_op
verify,4096,30,1000,1048576,sha256,0,630.936
verify,4096,30,1000,1048576,sha256,1,611.826
verify,4096,30,1000,1048576,sha256,2,641.489
verify,4096,30,1000,1048576,sha256,3,851.271
verify,4096,30,1000,1048576,sha256,4,786.815
verify,4096,30,1000,1048576,sha256,5,797.699
verify,4096,30,1000,1048576,sha256,6,768.046
verify,4096,30,1000,1048576,sha256,7,773.498
verify,4096,30,1000,1048576,sha256,8,817.455
verify,4096,30,1000,1048576,sha256,9,775.327
verify,4096,30,1000,1048576,sha256,10,824.24
verify,4096,30,1000,1048576,sha256,11,798.74
verify,4096,30,1000,1048576,sha256,12,795.071
verify,4096,30,1000,1048576,sha256,13,788.499
verify,4096,30,1000,1048576,sha256,14,778.457
verify,4096,30,1000,1048576,sha256,15,785.043
verify,4096,30,1000,1048576,sha256,16,796.259
verify,4096,30,1000,1048576,sha256,17,782.263
verify,4096,30,1000,1048576,sha256,18,811.752
verify,4096,30,1000,1048576,sha256,19,794.628
verify,4096,30,1000,1048576,sha256,20,790.101
verify,4096,30,1000,1048576,sha256,21,801.07
verify,4096,30,1000,1048576,sha256,22,816.078
verify,4096,30,1000,1048576,sha256,23,814.634
verify,4096,30,1000,1048576,sha256,24,778.886
verify,4096,30,1000,1048576,sha256,25,814.856
verify,4096,30,1000,1048576,sha256,26,750.175
verify,4096,30,1000,1048576,sha256,27,805.057
verify,4096,30,1000,1048576,sha256,28,813.989
verify,4096,30,1000,1048576,sha256,29,847.336
# summary,mean,781.383,median,794.85,sd,56.4089,ci95_lo,761.198,ci95_hi,801.569
