op,algo,N,block,msg_size,round,us_per_op
keygen,mldsa-44,30,1000,1024,0,52.0552
keygen,mldsa-44,30,1000,1024,1,53.9036
keygen,mldsa-44,30,1000,1024,2,53.965
keygen,mldsa-44,30,1000,1024,3,54.164
keygen,mldsa-44,30,1000,1024,4,54.1965
keygen,mldsa-44,30,1000,1024,5,54.2551
keygen,mldsa-44,30,1000,1024,6,54.2933
keygen,mldsa-44,30,1000,1024,7,54.2936
keygen,mldsa-44,30,1000,1024,8,54.429
keygen,mldsa-44,30,1000,1024,9,54.5567
keygen,mldsa-44,30,1000,1024,10,54.642
keygen,mldsa-44,30,1000,1024,11,54.7059
keygen,mldsa-44,30,1000,1024,12,54.7723
keygen,mldsa-44,30,1000,1024,13,54.7765
keygen,mldsa-44,30,1000,1024,14,54.7928
keygen,mldsa-44,30,1000,1024,15,54.8472
keygen,mldsa-44,30,1000,1024,16,54.8525
keygen,mldsa-44,30,1000,1024,17,54.8913
keygen,mldsa-44,30,1000,1024,18,54.9058
keygen,mldsa-44,30,1000,1024,19,55.0005
keygen,mldsa-44,30,1000,1024,20,55.0031
keygen,mldsa-44,30,1000,1024,21,55.0229
keygen,mldsa-44,30,1000,1024,22,55.0462
keygen,mldsa-44,30,1000,1024,23,55.0806
keygen,mldsa-44,30,1000,1024,24,55.1331
keygen,mldsa-44,30,1000,1024,25,55.145
keygen,mldsa-44,30,1000,1024,26,55.2155
keygen,mldsa-44,30,1000,1024,27,55.292
keygen,mldsa-44,30,1000,1024,28,56.1159
keygen,mldsa-44,30,1000,1024,29,65.5527
# summary,mean,55.0302,median,54.8472,sd,2.09718,ci95_lo,54.2797,ci95_hi,55.7807
