op,algo,N,block,msg_size,round,us_per_op
sign,mldsa-65,30,1000,16384,0,131.44
sign,mldsa-65,30,1000,16384,1,132.514
sign,mldsa-65,30,1000,16384,2,133.082
sign,mldsa-65,30,1000,16384,3,133.276
sign,mldsa-65,30,1000,16384,4,133.982
sign,mldsa-65,30,1000,16384,5,134.019
sign,mldsa-65,30,1000,16384,6,134.107
sign,mldsa-65,30,1000,16384,7,134.127
sign,mldsa-65,30,1000,16384,8,134.161
sign,mldsa-65,30,1000,16384,9,134.304
sign,mldsa-65,30,1000,16384,10,134.424
sign,mldsa-65,30,1000,16384,11,134.43
sign,mldsa-65,30,1000,16384,12,134.691
sign,mldsa-65,30,1000,16384,13,134.899
sign,mldsa-65,30,1000,16384,14,135.277
sign,mldsa-65,30,1000,16384,15,135.335
sign,mldsa-65,30,1000,16384,16,135.545
sign,mldsa-65,30,1000,16384,17,135.59
sign,mldsa-65,30,1000,16384,18,135.597
sign,mldsa-65,30,1000,16384,19,135.658
sign,mldsa-65,30,1000,16384,20,135.875
sign,mldsa-65,30,1000,16384,21,135.906
sign,mldsa-65,30,1000,16384,22,136.04
sign,mldsa-65,30,1000,16384,23,136.197
sign,mldsa-65,30,1000,16384,24,136.332
sign,mldsa-65,30,1000,16384,25,136.602
sign,mldsa-65,30,1000,16384,26,136.897
sign,mldsa-65,30,1000,16384,27,136.962
sign,mldsa-65,30,1000,16384,28,137.045
sign,mldsa-65,30,1000,16384,29,137.604
# summary,mean,135.064,median,135.335,sd,1.4308,ci95_lo,134.552,ci95_hi,135.576
