op,algo,N,block,msg_size,round,us_per_op
sign,mldsa-65,30,1000,8388608,0,17676.5
sign,mldsa-65,30,1000,8388608,1,17758.2
sign,mldsa-65,30,1000,8388608,2,17777.1
sign,mldsa-65,30,1000,8388608,3,17778.1
sign,mldsa-65,30,1000,8388608,4,17824.7
sign,mldsa-65,30,1000,8388608,5,17875.8
sign,mldsa-65,30,1000,8388608,6,18032.4
sign,mldsa-65,30,1000,8388608,7,18099.1
sign,mldsa-65,30,1000,8388608,8,18114.4
sign,mldsa-65,30,1000,8388608,9,18121.2
sign,mldsa-65,30,1000,8388608,10,18121.7
sign,mldsa-65,30,1000,8388608,11,18137.9
sign,mldsa-65,30,1000,8388608,12,18144.6
sign,mldsa-65,30,1000,8388608,13,18154.3
sign,mldsa-65,30,1000,8388608,14,18156
sign,mldsa-65,30,1000,8388608,15,18198.7
sign,mldsa-65,30,1000,8388608,16,18223.1
sign,mldsa-65,30,1000,8388608,17,18228.4
sign,mldsa-65,30,1000,8388608,18,18231
sign,mldsa-65,30,1000,8388608,19,18977.9
sign,mldsa-65,30,1000,8388608,20,19014.9
sign,mldsa-65,30,1000,8388608,21,19042.7
sign,mldsa-65,30,1000,8388608,22,19089.5
sign,mldsa-65,30,1000,8388608,23,19126.8
sign,mldsa-65,30,1000,8388608,24,19129.8
sign,mldsa-65,30,1000,8388608,25,19165.2
sign,mldsa-65,30,1000,8388608,26,19174
sign,mldsa-65,30,1000,8388608,27,19180.5
sign,mldsa-65,30,1000,8388608,28,19193.5
sign,mldsa-65,30,1000,8388608,29,19242.1
# summary,mean,18433,median,18198.7,sd,554.702,ci95_lo,18234.5,ci95_hi,18631.5
