op,algo,N,block,msg_size,round,us_per_op
verify,mldsa-65,30,1000,1024,0,39.8437
verify,mldsa-65,30,1000,1024,1,39.9023
verify,mldsa-65,30,1000,1024,2,39.9962
verify,mldsa-65,30,1000,1024,3,40.123
verify,mldsa-65,30,1000,1024,4,40.1254
verify,mldsa-65,30,1000,1024,5,40.1365
verify,mldsa-65,30,1000,1024,6,40.1917
verify,mldsa-65,30,1000,1024,7,40.2881
verify,mldsa-65,30,1000,1024,8,40.3034
verify,mldsa-65,30,1000,1024,9,40.3183
verify,mldsa-65,30,1000,1024,10,40.409
verify,mldsa-65,30,1000,1024,11,40.5624
verify,mldsa-65,30,1000,1024,12,40.5833
verify,mldsa-65,30,1000,1024,13,40.5852
verify,mldsa-65,30,1000,1024,14,40.5862
verify,mldsa-65,30,1000,1024,15,40.5939
verify,mldsa-65,30,1000,1024,16,40.6181
verify,mldsa-65,30,1000,1024,17,40.6607
verify,mldsa-65,30,1000,1024,18,40.6647
verify,mldsa-65,30,1000,1024,19,40.6681
verify,mldsa-65,30,1000,1024,20,40.6684
verify,mldsa-65,30,1000,1024,21,40.6756
verify,mldsa-65,30,1000,1024,22,40.6962
verify,mldsa-65,30,1000,1024,23,40.7133
verify,mldsa-65,30,1000,1024,24,40.7302
verify,mldsa-65,30,1000,1024,25,40.7329
verify,mldsa-65,30,1000,1024,26,40.7488
verify,mldsa-65,30,1000,1024,27,40.7666
verify,mldsa-65,30,1000,1024,28,40.7973
verify,mldsa-65,30,1000,1024,29,40.8464
# summary,mean,40.4845,median,40.5939,sd,0.287096,ci95_lo,40.3818,ci95_hi,40.5873
