op,algo,N,block,msg_size,round,us_per_op
verify,mldsa-65,30,1000,8388608,0,17871
verify,mldsa-65,30,1000,8388608,1,17977.9
verify,mldsa-65,30,1000,8388608,2,17978
verify,mldsa-65,30,1000,8388608,3,18019.6
verify,mldsa-65,30,1000,8388608,4,18021.1
verify,mldsa-65,30,1000,8388608,5,18023.6
verify,mldsa-65,30,1000,8388608,6,18053
verify,mldsa-65,30,1000,8388608,7,18053.3
verify,mldsa-65,30,1000,8388608,8,18144.5
verify,mldsa-65,30,1000,8388608,9,18158.5
verify,mldsa-65,30,1000,8388608,10,18692.1
verify,mldsa-65,30,1000,8388608,11,18870.9
verify,mldsa-65,30,1000,8388608,12,18900.1
verify,mldsa-65,30,1000,8388608,13,18908.9
verify,mldsa-65,30,1000,8388608,14,18915
verify,mldsa-65,30,1000,8388608,15,18922.8
verify,mldsa-65,30,1000,8388608,16,18926.5
verify,mldsa-65,30,1000,8388608,17,18936.7
verify,mldsa-65,30,1000,8388608,18,18952.1
verify,mldsa-65,30,1000,8388608,19,18953.5
verify,mldsa-65,30,1000,8388608,20,18965
verify,mldsa-65,30,1000,8388608,21,19012.1
verify,mldsa-65,30,1000,8388608,22,19021.3
verify,mldsa-65,30,1000,8388608,23,19026.4
verify,mldsa-65,30,1000,8388608,24,19026.6
verify,mldsa-65,30,1000,8388608,25,19034.6
verify,mldsa-65,30,1000,8388608,26,19068.1
verify,mldsa-65,30,1000,8388608,27,19070.2
verify,mldsa-65,30,1000,8388608,28,19102.8
verify,mldsa-65,30,1000,8388608,29,19136.2
# summary,mean,18658.1,median,18922.8,sd,460.966,ci95_lo,18493.1,ci95_hi,18823
