op,algo,N,block,round,us_per_op
decaps,mlkem-512,30,1000,0,26.1276
decaps,mlkem-512,30,1000,1,26.1718
decaps,mlkem-512,30,1000,2,26.2696
decaps,mlkem-512,30,1000,3,26.3022
decaps,mlkem-512,30,1000,4,26.307
decaps,mlkem-512,30,1000,5,26.3287
decaps,mlkem-512,30,1000,6,26.3516
decaps,mlkem-512,30,1000,7,26.3599
decaps,mlkem-512,30,1000,8,26.37
decaps,mlkem-512,30,1000,9,26.3828
decaps,mlkem-512,30,1000,10,26.4344
decaps,mlkem-512,30,1000,11,26.4422
decaps,mlkem-512,30,1000,12,26.4627
decaps,mlkem-512,30,1000,13,26.4928
decaps,mlkem-512,30,1000,14,26.5082
decaps,mlkem-512,30,1000,15,26.519
decaps,mlkem-512,30,1000,16,26.5742
decaps,mlkem-512,30,1000,17,26.6586
decaps,mlkem-512,30,1000,18,26.6758
decaps,mlkem-512,30,1000,19,26.7052
decaps,mlkem-512,30,1000,20,26.8141
decaps,mlkem-512,30,1000,21,26.8294
decaps,mlkem-512,30,1000,22,26.8759
decaps,mlkem-512,30,1000,23,26.9909
decaps,mlkem-512,30,1000,24,27.0184
decaps,mlkem-512,30,1000,25,27.0732
decaps,mlkem-512,30,1000,26,27.0778
decaps,mlkem-512,30,1000,27,27.1592
decaps,mlkem-512,30,1000,28,27.5346
decaps,mlkem-512,30,1000,29,27.5553
# summary,mean,26.6458,median,26.519,sd,0.375659,ci95_lo,26.5113,ci95_hi,26.7802
