op,algo,N,block,round,us_per_op
keygen,mlkem-512,30,1000,0,35.65
keygen,mlkem-512,30,1000,1,35.8936
keygen,mlkem-512,30,1000,2,36.2031
keygen,mlkem-512,30,1000,3,36.3769
keygen,mlkem-512,30,1000,4,36.7982
keygen,mlkem-512,30,1000,5,36.8209
keygen,mlkem-512,30,1000,6,36.9877
keygen,mlkem-512,30,1000,7,37.0292
keygen,mlkem-512,30,1000,8,37.0522
keygen,mlkem-512,30,1000,9,37.0526
keygen,mlkem-512,30,1000,10,37.0891
keygen,mlkem-512,30,1000,11,37.0971
keygen,mlkem-512,30,1000,12,37.0975
keygen,mlkem-512,30,1000,13,37.099
keygen,mlkem-512,30,1000,14,37.1058
keygen,mlkem-512,30,1000,15,37.1089
keygen,mlkem-512,30,1000,16,37.124
keygen,mlkem-512,30,1000,17,37.135
keygen,mlkem-512,30,1000,18,37.1813
keygen,mlkem-512,30,1000,19,37.1975
keygen,mlkem-512,30,1000,20,37.2628
keygen,mlkem-512,30,1000,21,37.272
keygen,mlkem-512,30,1000,22,37.298
keygen,mlkem-512,30,1000,23,37.3349
keygen,mlkem-512,30,1000,24,37.3768
keygen,mlkem-512,30,1000,25,37.62
keygen,mlkem-512,30,1000,26,37.6734
keygen,mlkem-512,30,1000,27,37.8055
keygen,mlkem-512,30,1000,28,38.8708
keygen,mlkem-512,30,1000,29,43.0458
# summary,mean,37.2887,median,37.1089,sd,1.22951,ci95_lo,36.8487,ci95_hi,37.7286
