op,algo,N,block,round,us_per_op
encaps,mlkem-768,30,1000,0,38.1992
encaps,mlkem-768,30,1000,1,38.4442
encaps,mlkem-768,30,1000,2,38.6197
encaps,mlkem-768,30,1000,3,38.9004
encaps,mlkem-768,30,1000,4,38.9485
encaps,mlkem-768,30,1000,5,39.0666
encaps,mlkem-768,30,1000,6,40.1472
encaps,mlkem-768,30,1000,7,40.7567
encaps,mlkem-768,30,1000,8,40.8074
encaps,mlkem-768,30,1000,9,40.9844
encaps,mlkem-768,30,1000,10,41.4856
encaps,mlkem-768,30,1000,11,41.8062
encaps,mlkem-768,30,1000,12,42.0759
encaps,mlkem-768,30,1000,13,42.0918
encaps,mlkem-768,30,1000,14,42.1975
encaps,mlkem-768,30,1000,15,42.2167
encaps,mlkem-768,30,1000,16,42.2332
encaps,mlkem-768,30,1000,17,42.4667
encaps,mlkem-768,30,1000,18,42.6363
encaps,mlkem-768,30,1000,19,42.7673
encaps,mlkem-768,30,1000,20,42.8343
encaps,mlkem-768,30,1000,21,43.1299
encaps,mlkem-768,30,1000,22,43.1311
encaps,mlkem-768,30,1000,23,43.2682
encaps,mlkem-768,30,1000,24,43.5195
encaps,mlkem-768,30,1000,25,45.5132
encaps,mlkem-768,30,1000,26,50.3725
encaps,mlkem-768,30,1000,27,53.0616
encaps,mlkem-768,30,1000,28,53.2322
encaps,mlkem-768,30,1000,29,60.4579
# summary,mean,43.1791,median,42.2167,sd,4.95588,ci95_lo,41.4056,ci95_hi,44.9525
