op,algo,N,block,msg_size,round,us_per_op
sign,mldsa-44,30,1000,16384,0,285.229
sign,mldsa-44,30,1000,16384,1,287.033
sign,mldsa-44,30,1000,16384,2,288.22
sign,mldsa-44,30,1000,16384,3,288.896
sign,mldsa-44,30,1000,16384,4,293.127
sign,mldsa-44,30,1000,16384,5,294.181
sign,mldsa-44,30,1000,16384,6,314.796
sign,mldsa-44,30,1000,16384,7,322.347
sign,mldsa-44,30,1000,16384,8,333.405
sign,mldsa-44,30,1000,16384,9,334.925
sign,mldsa-44,30,1000,16384,10,338.629
sign,mldsa-44,30,1000,16384,11,340.93
sign,mldsa-44,30,1000,16384,12,346.25
sign,mldsa-44,30,1000,16384,13,349.796
sign,mldsa-44,30,1000,16384,14,358.638
sign,mldsa-44,30,1000,16384,15,358.991
sign,mldsa-44,30,1000,16384,16,372.213
sign,mldsa-44,30,1000,16384,17,375.181
sign,mldsa-44,30,1000,16384,18,379.508
sign,mldsa-44,30,1000,16384,19,382.094
sign,mldsa-44,30,1000,16384,20,386.151
sign,mldsa-44,30,1000,16384,21,390.004
sign,mldsa-44,30,1000,16384,22,390.09
sign,mldsa-44,30,1000,16384,23,392.971
sign,mldsa-44,30,1000,16384,24,406.843
sign,mldsa-44,30,1000,16384,25,435.907
sign,mldsa-44,30,1000,16384,26,483.908
sign,mldsa-44,30,1000,16384,27,488.334
sign,mldsa-44,30,1000,16384,28,565.258
sign,mldsa-44,30,1000,16384,29,573.911
# summary,mean,371.926,median,358.991,sd,75.2161,ci95_lo,345.01,ci95_hi,398.841
