op,algo,N,block,msg_size,round,us_per_op
verify,mldsa-44,30,1000,1024,0,81.1621
verify,mldsa-44,30,1000,1024,1,81.988
verify,mldsa-44,30,1000,1024,2,82.6913
verify,mldsa-44,30,1000,1024,3,83.4086
verify,mldsa-44,30,1000,1024,4,83.6579
verify,mldsa-44,30,1000,1024,5,83.7274
verify,mldsa-44,30,1000,1024,6,83.9029
verify,mldsa-44,30,1000,1024,7,83.9676
verify,mldsa-44,30,1000,1024,8,84.0515
verify,mldsa-44,30,1000,1024,9,84.1794
verify,mldsa-44,30,1000,1024,10,84.2581
verify,mldsa-44,30,1000,1024,11,84.5443
verify,mldsa-44,30,1000,1024,12,84.59
verify,mldsa-44,30,1000,1024,13,84.625
verify,mldsa-44,30,1000,1024,14,84.7031
verify,mldsa-44,30,1000,1024,15,85.1705
verify,mldsa-44,30,1000,1024,16,85.5427
verify,mldsa-44,30,1000,1024,17,85.7651
verify,mldsa-44,30,1000,1024,18,85.8421
verify,mldsa-44,30,1000,1024,19,86.2938
verify,mldsa-44,30,1000,1024,20,86.3571
verify,mldsa-44,30,1000,1024,21,87.4533
verify,mldsa-44,30,1000,1024,22,88.3209
verify,mldsa-44,30,1000,1024,23,88.4549
verify,mldsa-44,30,1000,1024,24,88.6688
verify,mldsa-44,30,1000,1024,25,88.7967
verify,mldsa-44,30,1000,1024,26,112.231
verify,mldsa-44,30,1000,1024,27,122.333
verify,mldsa-44,30,1000,1024,28,138.252
verify,mldsa-44,30,1000,1024,29,148.14
# summary,mean,91.1027,median,85.1705,sd,16.5494,ci95_lo,85.1805,ci95_hi,97.0248
