op,algo,N,block,msg_size,round,us_per_op
keygen,mldsa-65,30,1000,1024,0,11333.3
keygen,mldsa-65,30,1000,1024,1,11673.8
keygen,mldsa-65,30,1000,1024,2,11694.6
keygen,mldsa-65,30,1000,1024,3,11791.3
keygen,mldsa-65,30,1000,1024,4,11860.9
keygen,mldsa-65,30,1000,1024,5,11921.4
keygen,mldsa-65,30,1000,1024,6,11951.7
keygen,mldsa-65,30,1000,1024,7,12045.6
keygen,mldsa-65,30,1000,1024,8,12095.9
keygen,mldsa-65,30,1000,1024,9,12113.5
keygen,mldsa-65,30,1000,1024,10,12127.7
keygen,mldsa-65,30,1000,1024,11,12155.3
keygen,mldsa-65,30,1000,1024,12,12175.2
keygen,mldsa-65,30,1000,1024,13,12186.2
keygen,mldsa-65,30,1000,1024,14,12194
keygen,mldsa-65,30,1000,1024,15,12219.8
keygen,mldsa-65,30,1000,1024,16,12224.1
keygen,mldsa-65,30,1000,1024,17,12244.9
keygen,mldsa-65,30,1000,1024,18,12258.9
keygen,mldsa-65,30,1000,1024,19,12272.9
keygen,mldsa-65,30,1000,1024,20,12315.8
keygen,mldsa-65,30,1000,1024,21,12318.5
keygen,mldsa-65,30,1000,1024,22,12351.7
keygen,mldsa-65,30,1000,1024,23,12359.4
keygen,mldsa-65,30,1000,1024,24,12373.4
keygen,mldsa-65,30,1000,1024,25,12374.9
keygen,mldsa-65,30,1000,1024,26,12401.6
keygen,mldsa-65,30,1000,1024,27,12437.5
keygen,mldsa-65,30,1000,1024,28,12460.2
keygen,mldsa-65,30,1000,1024,29,12579.9
# summary,mean,12150.5,median,12219.8,sd,271.566,ci95_lo,12053.3,ci95_hi,12247.6
