op,algo,N,block,msg_size,round,us_per_op
sign,mldsa-65,30,1000,8388608,0,18311.4
sign,mldsa-65,30,1000,8388608,1,18529.2
sign,mldsa-65,30,1000,8388608,2,18678.5
sign,mldsa-65,30,1000,8388608,3,18801.6
sign,mldsa-65,30,1000,8388608,4,18885.2
sign,mldsa-65,30,1000,8388608,5,18913.1
sign,mldsa-65,30,1000,8388608,6,18953.6
sign,mldsa-65,30,1000,8388608,7,18968.6
sign,mldsa-65,30,1000,8388608,8,18984.2
sign,mldsa-65,30,1000,8388608,9,19016.1
sign,mldsa-65,30,1000,8388608,10,19033.6
sign,mldsa-65,30,1000,8388608,11,19046
sign,mldsa-65,30,1000,8388608,12,19091.8
sign,mldsa-65,30,1000,8388608,13,19147.6
sign,mldsa-65,30,1000,8388608,14,19202.1
sign,mldsa-65,30,1000,8388608,15,19236
sign,mldsa-65,30,1000,8388608,16,19250.5
sign,mldsa-65,30,1000,8388608,17,19259.6
sign,mldsa-65,30,1000,8388608,18,19526.9
sign,mldsa-65,30,1000,8388608,19,19536.5
sign,mldsa-65,30,1000,8388608,20,19586.5
sign,mldsa-65,30,1000,8388608,21,19606.1
sign,mldsa-65,30,1000,8388608,22,19626.7
sign,mldsa-65,30,1000,8388608,23,19757.7
sign,mldsa-65,30,1000,8388608,24,19758.6
sign,mldsa-65,30,1000,8388608,25,19871.7
sign,mldsa-65,30,1000,8388608,26,19999.9
sign,mldsa-65,30,1000,8388608,27,20089.1
sign,mldsa-65,30,1000,8388608,28,20577
sign,mldsa-65,30,1000,8388608,29,20669.9
# summary,mean,19330.5,median,19236,sd,553.556,ci95_lo,19132.4,ci95_hi,19528.6
