op,algo,N,block,msg_size,round,us_per_op
verify,mldsa-65,30,1000,1048576,0,1875.55
verify,mldsa-65,30,1000,1048576,1,2262.29
verify,mldsa-65,30,1000,1048576,2,2326.37
verify,mldsa-65,30,1000,1048576,3,2389.92
verify,mldsa-65,30,1000,1048576,4,2408.21
verify,mldsa-65,30,1000,1048576,5,2428.12
verify,mldsa-65,30,1000,1048576,6,2453.69
verify,mldsa-65,30,1000,1048576,7,2454.85
verify,mldsa-65,30,1000,1048576,8,2457.95
verify,mldsa-65,30,1000,1048576,9,2472.85
verify,mldsa-65,30,1000,1048576,10,2485.74
verify,mldsa-65,30,1000,1048576,11,2497.93
verify,mldsa-65,30,1000,1048576,12,2499.84
verify,mldsa-65,30,1000,1048576,13,2500.27
verify,mldsa-65,30,1000,1048576,14,2507.53
verify,mldsa-65,30,1000,1048576,15,2515.32
verify,mldsa-65,30,1000,1048576,16,2517.32
verify,mldsa-65,30,1000,1048576,17,2519
verify,mldsa-65,30,1000,1048576,18,2523.35
verify,mldsa-65,30,1000,1048576,19,2526.45
verify,mldsa-65,30,1000,1048576,20,2530.3
verify,mldsa-65,30,1000,1048576,21,2531.91
verify,mldsa-65,30,1000,1048576,22,2539.73
verify,mldsa-65,30,1000,1048576,23,2542.06
verify,mldsa-65,30,1000,1048576,24,2545.33
verify,mldsa-65,30,1000,1048576,25,2575.28
verify,mldsa-65,30,1000,1048576,26,2589.9
verify,mldsa-65,30,1000,1048576,27,2652.63
verify,mldsa-65,30,1000,1048576,28,2705.67
verify,mldsa-65,30,1000,1048576,29,3116.48
# summary,mean,2498.39,median,2515.32,sd,183.645,ci95_lo,2432.68,ci95_hi,2564.11
