op,algo,N,block,round,us_per_op
decaps,mlkem-1024,30,1000,0,334.424
decaps,mlkem-1024,30,1000,1,338.679
decaps,mlkem-1024,30,1000,2,341.314
decaps,mlkem-1024,30,1000,3,346.144
decaps,mlkem-1024,30,1000,4,349.713
decaps,mlkem-1024,30,1000,5,357.51
decaps,mlkem-1024,30,1000,6,368.783
decaps,mlkem-1024,30,1000,7,377.534
decaps,mlkem-1024,30,1000,8,379.465
decaps,mlkem-1024,30,1000,9,379.53
decaps,mlkem-1024,30,1000,10,385.12
decaps,mlkem-1024,30,1000,11,387.406
decaps,mlkem-1024,30,1000,12,388.677
decaps,mlkem-1024,30,1000,13,389.539
decaps,mlkem-1024,30,1000,14,389.555
decaps,mlkem-1024,30,1000,15,389.596
decaps,mlkem-1024,30,1000,16,391.11
decaps,mlkem-1024,30,1000,17,391.716
decaps,mlkem-1024,30,1000,18,392.868
decaps,mlkem-1024,30,1000,19,393
decaps,mlkem-1024,30,1000,20,393.926
decaps,mlkem-1024,30,1000,21,394.44
decaps,mlkem-1024,30,1000,22,403.523
decaps,mlkem-1024,30,1000,23,404.088
decaps,mlkem-1024,30,1000,24,404.25
decaps,mlkem-1024,30,1000,25,413.677
decaps,mlkem-1024,30,1000,26,445.508
decaps,mlkem-1024,30,1000,27,447.351
decaps,mlkem-1024,30,1000,28,451.65
decaps,mlkem-1024,30,1000,29,484.599
# summary,mean,390.49,median,389.596,sd,34.1741,ci95_lo,378.261,ci95_hi,402.719
