op,algo,N,block,round,us_per_op
encaps,mlkem-1024,30,1000,0,9204.31
encaps,mlkem-1024,30,1000,1,9556.87
encaps,mlkem-1024,30,1000,2,9620.49
encaps,mlkem-1024,30,1000,3,9645.22
encaps,mlkem-1024,30,1000,4,9696.45
encaps,mlkem-1024,30,1000,5,9714.8
encaps,mlkem-1024,30,1000,6,9739.45
encaps,mlkem-1024,30,1000,7,9769.83
encaps,mlkem-1024,30,1000,8,9777.29
encaps,mlkem-1024,30,1000,9,9835.63
encaps,mlkem-1024,30,1000,10,9906.54
encaps,mlkem-1024,30,1000,11,9914.26
encaps,mlkem-1024,30,1000,12,9925.2
encaps,mlkem-1024,30,1000,13,9994.63
encaps,mlkem-1024,30,1000,14,10010
encaps,mlkem-1024,30,1000,15,10019.9
encaps,mlkem-1024,30,1000,16,10030.4
encaps,mlkem-1024,30,1000,17,10078.7
encaps,mlkem-1024,30,1000,18,10085.2
encaps,mlkem-1024,30,1000,19,10087.2
encaps,mlkem-1024,30,1000,20,10129.4
encaps,mlkem-1024,30,1000,21,10134
encaps,mlkem-1024,30,1000,22,10182.8
encaps,mlkem-1024,30,1000,23,10215.7
encaps,mlkem-1024,30,1000,24,10230.7
encaps,mlkem-1024,30,1000,25,10383.4
encaps,mlkem-1024,30,1000,26,10452.6
encaps,mlkem-1024,30,1000,27,10518.9
encaps,mlkem-1024,30,1000,28,10533.1
encaps,mlkem-1024,30,1000,29,10661.4
# summary,mean,10001.8,median,10019.9,sd,322.975,ci95_lo,9886.24,ci95_hi,10117.4
