op,algo,N,block,round,us_per_op
keygen,mlkem-1024,30,1000,0,10400.3
keygen,mlkem-1024,30,1000,1,10465.7
keygen,mlkem-1024,30,1000,2,10550.7
keygen,mlkem-1024,30,1000,3,10753.3
keygen,mlkem-1024,30,1000,4,10815
keygen,mlkem-1024,30,1000,5,10857
keygen,mlkem-1024,30,1000,6,10896.1
keygen,mlkem-1024,30,1000,7,10938.4
keygen,mlkem-1024,30,1000,8,10982
keygen,mlkem-1024,30,1000,9,10993.6
keygen,mlkem-1024,30,1000,10,11004.3
keygen,mlkem-1024,30,1000,11,11011.3
keygen,mlkem-1024,30,1000,12,11016.2
keygen,mlkem-1024,30,1000,13,11060.2
keygen,mlkem-1024,30,1000,14,11063.6
keygen,mlkem-1024,30,1000,15,11069.3
keygen,mlkem-1024,30,1000,16,11077.7
keygen,mlkem-1024,30,1000,17,11098.3
keygen,mlkem-1024,30,1000,18,11107.1
keygen,mlkem-1024,30,1000,19,11109
keygen,mlkem-1024,30,1000,20,11132.7
keygen,mlkem-1024,30,1000,21,11173.9
keygen,mlkem-1024,30,1000,22,11173.9
keygen,mlkem-1024,30,1000,23,11222.7
keygen,mlkem-1024,30,1000,24,11244.2
keygen,mlkem-1024,30,1000,25,11254.7
keygen,mlkem-1024,30,1000,26,11254.9
keygen,mlkem-1024,30,1000,27,11255.1
keygen,mlkem-1024,30,1000,28,11266.4
keygen,mlkem-1024,30,1000,29,11287.9
# summary,mean,11017.9,median,11069.3,sd,231.638,ci95_lo,10935,ci95_hi,11100.7
